term	sentiment	???
fyi	0.8	1.66132
fysa	0.4	0.91652
g1	1.4	0.4899
gg	1.2	0.74833
gga	1.7	0.45826
gigo	-0.6	1.11355
gj	2.0	1.0
gl	1.3	0.64031
gla	2.5	0.92195
gn	1.2	0.74833
gr8	2.7	0.78102
grrr	-0.4	1.42829
gt	1.1	0.53852
h&k	2.3	0.78102
hagd	2.2	0.87178
hagn	2.2	0.87178
hago	1.2	0.4
hak	1.9	0.7
hand	2.2	0.87178
hho1/2k	1.4	1.11355
hhoj	2.0	1.09545
hhok	0.9	0.9434
hugz	2.0	0.7746
hi5	1.9	0.53852
idk	-0.4	0.66332
ijs	0.7	1.84662
ilu	3.4	0.66332
iluaaf	2.7	1.1
ily	3.4	0.66332
ily2	2.6	0.66332
iou	0.7	1.34536
iyq	2.3	1.18743
j/j	2.0	1.34164
j/k	1.6	1.2
j/p	1.4	0.66332
j/t	-0.2	1.46969
j/w	1.0	1.0
j4f	1.4	0.8
j4g	1.7	1.18743
jho	0.8	0.4
jhomf	1.0	0.63246
jj	1.0	0.63246
jk	0.9	1.22066
jp	0.8	0.74833
jt	0.9	0.83066
jw	1.6	1.68523
jealz	-1.2	0.9798
k4y	2.3	1.00499
kfy	2.3	0.64031
kia	-3.2	0.6
kk	1.5	1.0247
kmuf	2.2	1.4
l	2.0	0.7746
l&r	2.2	0.74833
laoj	1.3	1.73494
lmao	2.0	1.18322
lmbao	1.8	1.77764
lmfao	2.5	1.28452
lmso	2.7	0.78102
lol	2.9	0.83066
lolz	2.7	0.78102
lts	1.6	0.66332
ly	2.6	0.91652
ly4e	2.7	0.78102
lya	3.3	0.78102
lyb	3.0	0.63246
lyl	3.1	0.7
lylab	2.7	0.78102
lylas	2.6	0.8
lylb	1.6	1.56205
m8	1.4	1.0198
mia	-1.2	0.4
mml	2.0	1.0
mofo	-2.4	2.2
muah	2.8	1.07703
mubar	-1.0	2.36643
musm	0.9	2.07123
mwah	2.5	0.80623
n1	1.9	1.04403
nbd	1.3	1.34536
nbif	-0.5	0.67082
nfc	-2.7	0.9
nfw	-2.4	1.0198
nh	2.2	0.6
nimby	-0.8	0.6
nimjd	-0.7	0.78102
nimq	-0.2	0.6
nimy	-1.4	1.68523
nitl	-1.5	0.92195
nme	-2.1	1.13578
noyb	-0.7	1.67631
np	1.4	1.0198
ntmu	1.4	0.66332
o-8	-0.5	1.5
o-:	-0.3	1.18743
o-|	-1.1	0.53852
o.o	-0.6	0.8
O.o	-0.6	0.8
o.O	-0.6	0.8
o:	-0.2	0.87178
o:)	1.5	0.67082
o:-)	2.0	1.18322
o:-3	2.2	0.9798
o:3	2.3	0.78102
o:<	-0.3	1.1
o;^)	1.6	0.8
ok	1.6	1.42829
o_o	-0.5	0.92195
O_o	-0.5	0.92195
o_O	-0.5	0.92195
pita	-2.4	1.2
pls	0.3	0.45826
plz	0.3	0.45826
pmbi	0.8	1.32665
pmfji	0.3	0.78102
pmji	0.7	1.00499
po	-2.6	0.91652
ptl	2.6	1.11355
pu	-1.1	1.3
qq	-2.2	0.6
qt	1.8	0.6
r&r	2.4	1.0198
rofl	2.7	0.78102
roflmao	2.5	1.11803
rotfl	2.6	0.66332
rotflmao	2.8	1.07703
rotflmfao	2.5	1.11803
rotflol	3.0	1.09545
rotgl	2.9	0.7
rotglmao	1.8	2.4
s:	-1.1	0.83066
sapfu	-1.1	1.57797
sete	2.8	0.87178
sfete	2.7	0.78102
sgtm	2.4	1.0198
slap	0.6	2.15407
slaw	2.1	1.04403
smh	-1.3	0.64031
snafu	-2.5	1.11803
sob	-2.8	0.9798
swak	2.3	1.00499
tgif	2.3	1.34536
thks	1.4	0.4899
thx	1.5	0.92195
tia	2.3	0.9
tmi	-0.3	1.61555
tnx	1.1	0.53852
true	1.8	1.32665
tx	1.5	0.92195
txs	1.1	0.7
ty	1.6	0.66332
tyvm	2.5	1.11803
urw	1.9	1.13578
vbg	2.1	1.75784
vbs	3.1	0.53852
vip	2.3	1.00499
vwd	2.6	0.91652
vwp	2.1	0.7
wag	-0.2	0.74833
wd	2.7	1.1
wilco	0.9	0.9434
wp	1.0	0.0
wtf	-2.8	0.74833
wtg	2.1	0.7
wth	-2.4	0.4899
x-d	2.7	0.78102
x-p	1.8	0.87178
xd	2.7	0.9
xlnt	3.0	0.89443
xoxo	3.0	0.7746
xoxozzz	2.3	0.78102
xp	1.2	0.4
xqzt	1.6	1.42829
xtc	0.8	1.93907
yolo	1.1	0.83066
yoyo	0.4	1.85472
yvw	1.6	0.4899
yw	1.8	1.32665
ywia	2.5	1.11803
zzz	-1.2	0.87178
[-;	0.5	1.28452
[:	1.3	0.45826
[;	1.0	1.34164
[=	1.7	0.64031
\-:	-1.0	1.18322
\:	-1.0	0.0
\:<	-1.7	1.18743
\=	-1.1	0.3
\^:	-1.3	0.45826
\o/	2.2	0.9798
\o:	-1.2	0.4
]-:	-2.1	0.53852
]:	-1.6	0.66332
]:<	-2.5	0.80623
^<_<	1.4	1.11355
^urs	-2.8	0.6
abandon	-1.9	0.53852
abandoned	-2.0	1.09545
abandoner	-1.9	0.83066
abandoners	-1.9	0.83066
abandoning	-1.6	0.8
abandonment	-2.4	1.0198
abandonments	-1.7	0.45826
abandons	-1.3	0.9
abducted	-2.3	1.18743
abduction	-2.8	0.87178
abductions	-2.0	1.41421
abhor	-2.0	1.09545
abhorred	-2.4	1.49666
abhorrent	-3.1	1.3
abhors	-2.9	1.51327
abilities	1.0	0.63246
ability	1.3	0.64031
aboard	0.1	0.3
absentee	-1.1	0.53852
absentees	-0.8	0.6
absolve	1.2	1.46969
absolved	1.5	0.92195
absolves	1.3	1.00499
absolving	1.6	0.8
abuse	-3.2	0.6
abused	-2.3	0.64031
abuser	-2.6	0.4899
abusers	-2.6	1.0198
abuses	-2.6	0.66332
abusing	-2.0	1.41421
abusive	-3.2	0.74833
abusively	-2.8	0.6
abusiveness	-2.5	0.92195
abusivenesses	-3.0	0.63246
accept	1.6	0.91652
acceptabilities	1.6	0.66332
acceptability	1.1	0.53852
acceptable	1.3	0.45826
acceptableness	1.3	0.9
acceptably	1.5	0.67082
acceptance	2.0	0.63246
acceptances	1.7	0.78102
acceptant	1.6	0.8
acceptation	1.3	0.78102
acceptations	0.9	0.83066
accepted	1.1	0.3
accepting	1.6	0.66332
accepts	1.3	0.45826
accident	-2.1	0.83066
accidental	-0.3	0.45826
accidentally	-1.4	0.91652
accidents	-1.3	0.78102
accomplish	1.8	0.6
accomplished	1.9	0.53852
accomplishes	1.7	0.9
accusation	-1.0	1.09545
accusations	-1.3	1.26886
accuse	-0.8	1.53623
accused	-1.2	1.46969
accuses	-1.4	1.0198
accusing	-0.7	1.34536
ache	-1.6	1.2
ached	-1.6	0.8
aches	-1.0	0.7746
achievable	1.3	0.45826
aching	-2.2	0.74833
acquit	0.8	1.72047
acquits	0.1	1.37477
acquitted	1.0	0.89443
acquitting	1.3	0.78102
acrimonious	-1.7	1.73494
active	1.7	1.26886
actively	1.3	0.78102
activeness	0.6	0.8
activenesses	0.8	0.74833
actives	1.1	0.7
adequate	0.9	0.7
admirability	2.4	0.4899
admirable	2.6	0.66332
admirableness	2.2	0.87178
admirably	2.5	0.67082
admiral	1.3	1.18743
admirals	1.5	0.80623
admiralties	1.6	0.66332
admiralty	1.2	1.53623
admiration	2.5	0.80623
admirations	1.6	0.66332
admire	2.1	0.83066
admired	2.3	0.78102
admirer	1.8	0.74833
admirers	1.7	1.00499
admires	1.5	0.67082
admiring	1.6	0.8
admiringly	2.3	0.64031
admit	0.8	1.07703
admits	1.2	0.87178
admitted	0.4	0.66332
admonished	-1.9	0.9434
adopt	0.7	0.64031
adopts	0.7	0.64031
adorability	2.2	0.74833
adorable	2.2	0.6
adorableness	2.5	0.67082
adorably	2.1	0.7
adoration	2.9	0.7
adorations	2.2	0.87178
adore	2.6	0.91652
adored	1.8	0.87178
adorer	1.7	1.1
adorers	2.1	0.7
adores	1.6	0.66332
adoring	2.6	0.66332
adoringly	2.4	0.8
adorn	0.9	0.53852
adorned	0.8	1.249
adorner	1.3	0.78102
adorners	0.9	0.9434
adorning	1.0	0.7746
adornment	1.3	0.78102
adornments	0.8	1.16619
adorns	0.5	1.56525
advanced	1.0	0.63246
advantage	1.0	0.63246
advantaged	1.4	0.91652
advantageous	1.5	0.67082
advantageously	1.9	0.53852
advantageousness	1.6	1.28062
advantages	1.5	0.80623
advantaging	1.6	0.66332
adventure	1.3	0.45826
adventured	1.3	0.45826
adventurer	1.2	0.6
adventurers	0.9	0.9434
adventures	1.4	1.2
adventuresome	1.7	1.1
adventuresomeness	1.3	1.00499
adventuress	0.8	1.72047
adventuresses	1.4	1.11355
adventuring	2.3	0.78102
adventurism	1.5	0.67082
adventurist	1.4	0.4899
adventuristic	1.7	0.64031
adventurists	1.2	0.9798
adventurous	1.4	1.11355
adventurously	1.3	0.9
adventurousness	1.8	0.87178
adversarial	-1.5	0.92195
adversaries	-1.0	0.63246
adversary	-0.8	1.72047
adversative	-1.2	0.74833
adversatively	-0.1	1.37477
adversatives	-1.0	0.7746
adverse	-1.5	0.80623
adversely	-0.8	1.6
adverseness	-0.6	1.35647
adversities	-1.5	0.67082
adversity	-1.8	0.6
affected	-0.6	1.35647
affection	2.4	0.8
affectional	1.9	1.04403
affectionally	1.5	0.92195
affectionate	1.9	1.13578
affectionately	2.2	0.87178
affectioned	1.8	0.4
affectionless	-2.0	0.44721
affections	1.5	1.11803
afflicted	-1.5	1.0247
affronted	0.2	2.03961
aggravate	-2.5	0.80623
aggravated	-1.9	1.04403
aggravates	-1.9	0.83066
aggravating	-1.2	0.9798
aggress	-1.3	1.55242
aggressed	-1.4	0.4899
aggresses	-0.5	1.43178
aggressing	-0.6	1.28062
aggression	-1.2	1.77764
aggressions	-1.3	1.48661
aggressive	-0.6	1.28062
aggressively	-1.3	1.55242
aggressiveness	-1.8	0.74833
aggressivities	-1.4	1.28062
aggressivity	-0.6	1.35647
aggressor	-0.8	1.32665
aggressors	-0.9	1.13578
aghast	-1.9	1.04403
agitate	-1.7	0.64031
agitated	-2.0	0.63246
agitatedly	-1.6	0.8
agitates	-1.4	0.8
agitating	-1.8	0.87178
agitation	-1.0	1.09545
agitational	-1.2	1.66132
agitations	-1.3	1.18743
agitative	-1.3	1.26886
agitato	-0.1	1.13578
agitator	-1.4	0.8
agitators	-2.1	0.9434
agog	1.9	0.7
agonise	-2.1	0.9434
agonised	-2.3	0.64031
agonises	-2.4	0.91652
agonising	-1.5	1.43178
agonize	-2.3	0.9
agonized	-2.2	1.249
agonizes	-2.3	1.18743
agonizing	-2.7	0.78102
agonizingly	-2.3	1.48661
agony	-1.8	1.16619
agree	1.5	1.11803
agreeability	1.9	1.04403
agreeable	1.8	0.4
agreeableness	1.8	0.9798
agreeablenesses	1.3	0.45826
agreeably	1.6	0.4899
agreed	1.1	0.53852
agreeing	1.4	0.4899
agreement	2.2	0.74833
agreements	1.1	1.13578
agrees	0.8	1.4
alarm	-1.4	0.91652
alarmed	-1.4	0.4899
alarming	-0.5	1.62788
alarmingly	-2.6	0.91652
alarmism	-0.3	1.26886
