term	sentiment	???
benevolently	1.4	1.11355
benevolentness	1.2	1.249
benign	1.3	0.9
benignancy	0.6	1.2
benignant	2.2	0.9798
benignantly	1.1	1.3
benignities	0.9	0.9434
benignity	1.3	1.18743
benignly	0.2	1.07703
bereave	-2.1	1.13578
bereaved	-2.1	0.9434
bereaves	-1.9	1.22066
bereaving	-1.3	1.84662
best	3.2	0.6
betray	-3.2	0.6
betrayal	-2.8	0.74833
betrayed	-3.0	0.63246
betraying	-2.5	0.67082
betrays	-2.5	0.67082
better	1.9	0.7
bias	-0.4	1.11355
biased	-1.1	0.83066
bitch	-2.8	0.87178
bitched	-2.6	1.0198
bitcheries	-2.3	0.78102
bitchery	-2.7	1.18743
bitches	-2.9	0.9434
bitchier	-2.0	0.63246
bitchiest	-3.0	0.7746
bitchily	-2.6	1.11355
bitchiness	-2.6	0.66332
bitching	-1.1	1.64012
bitchy	-2.3	1.00499
bitter	-1.8	0.4
bitterbrush	-0.2	0.74833
bitterbrushes	-0.6	0.8
bittered	-1.8	1.07703
bitterer	-1.9	1.04403
bitterest	-2.3	1.41774
bittering	-1.2	0.87178
bitterish	-1.6	0.8
bitterly	-2.0	0.63246
bittern	-0.2	0.6
bitterness	-1.7	0.45826
bitterns	-0.4	1.11355
bitterroots	-0.2	0.4
bitters	-0.4	0.4899
bittersweet	-0.3	0.64031
bittersweetness	-0.6	0.91652
bittersweets	-0.2	0.9798
bitterweeds	-0.5	0.67082
bizarre	-1.3	1.00499
blah	-0.4	1.49666
blam	-0.2	1.16619
blamable	-1.8	0.4
blamably	-1.8	0.4
blame	-1.4	1.42829
blamed	-2.1	0.53852
blameful	-1.7	0.45826
blamefully	-1.6	0.66332
blameless	0.7	1.73494
blamelessly	0.9	1.37477
blamelessness	0.6	1.35647
blamer	-2.1	0.83066
blamers	-2.0	0.63246
blames	-1.7	0.45826
blameworthiness	-1.6	0.66332
blameworthy	-2.3	0.78102
blaming	-2.2	0.6
bless	1.8	0.6
blessed	2.9	0.3
blesseder	2.0	0.63246
blessedest	2.8	0.87178
blessedly	1.7	1.1
blessedness	1.6	1.35647
blesser	2.6	0.66332
blessers	1.9	0.7
blesses	2.6	0.66332
blessing	2.2	1.07703
blessings	2.5	0.92195
blind	-1.7	1.00499
bliss	2.7	0.78102
blissful	2.9	0.83066
blithe	1.2	1.16619
block	-1.9	1.13578
blockbuster	2.9	0.9434
blocked	-1.1	1.13578
blocking	-1.6	0.91652
blocks	-0.9	1.13578
bloody	-1.9	0.7
blurry	-0.4	1.28062
bold	1.6	0.66332
bolder	1.2	0.6
boldest	1.6	1.11355
boldface	0.3	0.64031
boldfaced	-0.1	1.22066
boldfaces	0.1	1.3
boldfacing	0.1	0.7
boldly	1.5	1.62788
boldness	1.5	1.0247
boldnesses	0.9	0.83066
bolds	1.3	0.78102
bomb	-2.2	0.87178
bonus	2.5	0.67082
bonuses	2.6	0.91652
boost	1.7	0.64031
boosted	1.5	1.5
boosting	1.4	0.91652
boosts	1.3	0.9
bore	-1.0	0.44721
boreal	-0.3	0.9
borecole	-0.2	0.74833
borecoles	-0.3	0.45826
bored	-1.1	0.9434
boredom	-1.3	0.45826
boredoms	-1.1	0.83066
boreen	0.1	0.3
boreens	0.2	0.6
boreholes	-0.2	0.74833
borer	-0.4	0.4899
borers	-1.2	0.9798
bores	-1.3	0.78102
borescopes	-0.1	0.83066
boresome	-1.3	0.45826
boring	-1.3	0.45826
bother	-1.4	0.91652
botheration	-1.7	0.64031
botherations	-1.3	0.64031
bothered	-1.3	0.45826
bothering	-1.6	0.4899
bothers	-0.8	0.9798
bothersome	-1.3	0.45826
boycott	-1.3	0.45826
boycotted	-1.7	0.64031
boycotting	-1.7	0.64031
boycotts	-1.4	0.91652
brainwashing	-1.5	1.28452
brave	2.4	0.8
braved	1.9	0.83066
bravely	2.3	0.78102
braver	2.4	0.8
braveries	2.0	1.0
bravery	2.2	0.74833
braves	1.9	0.83066
bravest	2.3	0.64031
breathtaking	2.0	1.26491
bribe	-0.8	1.98997
bright	1.9	0.7
brighten	1.9	0.7
brightened	2.1	0.83066
brightener	1.0	1.18322
brighteners	1.0	0.89443
brightening	2.5	0.92195
brightens	1.5	0.5
brighter	1.6	0.66332
brightest	3.0	0.63246
brightly	1.5	0.67082
brightness	1.6	0.91652
brightnesses	1.4	0.91652
brights	0.4	0.66332
brightwork	1.1	0.83066
brilliance	2.9	0.83066
brilliances	2.9	0.83066
brilliancies	2.3	1.18743
brilliancy	2.6	1.0198
brilliant	2.8	0.6
brilliantine	0.8	1.16619
brilliantines	2.0	1.34164
brilliantly	3.0	0.44721
brilliants	1.9	0.83066
brisk	0.6	0.8
broke	-1.8	0.4
broken	-2.1	0.53852
brooding	0.1	1.3
brutal	-3.1	0.7
brutalise	-2.7	1.1
brutalised	-2.9	0.83066
brutalises	-3.2	0.4
brutalising	-2.8	0.74833
brutalities	-2.6	1.0198
brutality	-3.0	0.63246
brutalization	-2.1	2.16564
brutalizations	-2.3	0.64031
brutalize	-2.9	0.7
brutalized	-2.4	0.4899
brutalizes	-3.2	0.6
brutalizing	-3.4	0.66332
brutally	-3.0	0.44721
bullied	-3.1	0.9434
bullshit	-2.8	0.6
bully	-2.2	1.6
bullying	-2.9	0.7
bummer	-1.6	0.8
buoyant	0.9	0.83066
burden	-1.9	0.53852
burdened	-1.7	0.45826
burdener	-1.3	0.45826
burdeners	-1.7	1.00499
burdening	-1.4	0.66332
burdens	-1.5	0.5
burdensome	-1.8	0.9798
bwahaha	0.4	1.0198
bwahahah	2.5	0.92195
calm	1.3	0.78102
calmative	1.1	0.9434
calmatives	0.5	0.80623
calmed	1.6	0.4899
calmer	1.5	0.67082
calmest	1.6	0.8
calming	1.7	0.78102
calmly	1.3	0.9
calmness	1.7	0.9
calmnesses	1.6	0.4899
calmodulin	0.2	0.4
calms	1.3	0.64031
can't stand	-2.0	0.63246
cancel	-1.0	0.63246
cancelled	-1.0	0.44721
cancelling	-0.8	0.74833
cancels	-0.9	0.53852
cancer	-3.4	0.8
capable	1.6	0.4899
captivated	1.6	0.4899
care	2.2	0.74833
cared	1.8	0.74833
carefree	1.7	0.64031
careful	0.6	1.11355
carefully	0.5	0.67082
carefulness	2.0	0.44721
careless	-1.5	0.5
carelessly	-1.0	0.44721
carelessness	-1.4	0.4899
carelessnesses	-1.6	1.11355
cares	2.0	0.7746
caring	2.2	0.4
casual	0.8	0.74833
casually	0.7	1.00499
casualty	-2.4	0.91652
catastrophe	-3.4	0.4899
catastrophic	-2.2	2.22711
cautious	-0.4	0.66332
celebrate	2.7	1.00499
celebrated	2.7	0.78102
celebrates	2.7	0.64031
celebrating	2.7	0.64031
censor	-2.0	1.34164
censored	-0.6	1.68523
censors	-1.2	1.07703
certain	1.1	0.7
certainly	1.4	1.0198
certainties	0.9	1.44568
certainty	1.0	0.89443
chagrin	-1.9	0.53852
chagrined	-1.4	1.2
challenge	0.3	1.00499
challenged	-0.4	1.62481
challenger	0.5	1.43178
challengers	0.4	1.56205
challenges	0.3	1.48661
challenging	0.6	0.91652
challengingly	-0.6	1.68523
champ	2.1	0.83066
champac	-0.2	0.6
champagne	1.2	1.07703
champagnes	0.5	0.92195
champaign	0.2	0.6
champaigns	0.5	0.67082
champaks	-0.2	0.6
champed	1.0	0.63246
champer	-0.1	0.53852
champers	0.5	0.67082
champerties	-0.1	0.83066
champertous	0.3	0.78102
champerty	-0.2	1.32665
champignon	0.4	0.8
champignons	0.2	0.6
champing	0.7	1.34536
champion	2.9	0.83066
championed	1.2	1.53623
championing	1.8	0.9798
champions	2.4	1.42829
championship	1.9	1.04403
championships	2.2	0.74833
champs	1.8	0.4
champy	1.0	1.0
chance	1.0	0.7746
chances	0.8	0.4
chaos	-2.7	0.9
chaotic	-2.2	1.4
charged	-0.8	0.87178
charges	-1.1	0.7
charitable	1.7	0.64031
charitableness	1.9	0.9434
charitablenesses	1.6	1.74356
charitably	1.4	0.66332
charities	2.2	0.6
charity	1.8	0.87178
charm	1.7	0.78102
charmed	2.0	0.63246
charmer	1.9	0.53852
charmers	2.1	0.83066
charmeuse	0.3	0.78102
charmeuses	0.4	0.66332
charming	2.8	0.4
charminger	1.5	0.67082
charmingest	2.4	0.66332
charmingly	2.2	0.87178
charmless	-1.8	0.87178
charms	1.9	0.7
chastise	-2.5	0.92195
chastised	-2.2	1.16619
chastises	-1.7	1.61555
chastising	-1.7	0.78102
cheat	-2.0	0.7746
cheated	-2.3	0.64031
cheater	-2.5	0.67082
cheaters	-1.9	0.83066
cheating	-2.6	0.91652
cheats	-1.8	0.6
cheer	2.3	0.64031
cheered	2.3	0.78102
cheerer	1.7	0.45826
cheerers	1.8	0.87178
cheerful	2.5	0.67082
cheerfuller	1.9	0.83066
cheerfullest	3.2	0.87178
cheerfully	2.1	0.83066
cheerfulness	2.1	0.9434
cheerier	2.6	0.4899
cheeriest	2.2	0.6
cheerily	2.5	0.67082
cheeriness	2.5	0.67082
cheering	2.3	0.64031
cheerio	1.2	0.6
cheerlead	1.7	0.78102
cheerleader	0.9	0.9434
cheerleaders	1.2	1.07703
cheerleading	1.2	1.07703
cheerleads	1.2	1.07703
cheerled	1.5	1.11803
cheerless	-1.7	1.1
cheerlessly	-0.8	1.98997
cheerlessness	-1.7	1.48661
cheerly	2.4	0.66332
cheers	2.1	1.3
cheery	2.6	0.66332
cherish	1.6	1.49666
cherishable	2.0	1.41421
cherished	2.3	0.64031
cherisher	2.2	0.4
cherishers	1.9	0.7
cherishes	2.2	0.74833
cherishing	2.0	0.7746
chic	1.1	1.3
childish	-1.2	0.74833
chilling	-0.1	1.92094
choke	-2.5	0.92195
choked	-2.1	1.3
chokes	-2.0	0.89443
choking	-2.0	1.26491
chuckle	1.7	0.45826
chuckled	1.2	0.9798
chucklehead	-1.9	0.53852
chuckleheaded	-1.3	1.84662
chuckleheads	-1.1	0.9434
chuckler	0.8	1.07703
chucklers	1.2	0.87178
chuckles	1.1	1.13578
chucklesome	1.1	0.53852
chuckling	1.4	0.4899
chucklingly	1.2	0.4
clarifies	0.9	1.13578
clarity	1.7	0.78102
classy	1.9	0.53852
clean	1.7	0.78102
cleaner	0.7	0.78102
clear	1.6	1.2
cleared	0.4	0.4899
clearly	1.7	0.78102
clears	0.3	0.78102
clever	2.0	0.7746
cleverer	2.0	0.44721
cleverest	2.6	0.91652
cleverish	1.0	1.18322
cleverly	2.3	0.45826
cleverness	2.3	0.9
clevernesses	1.4	0.66332
clouded	-0.2	0.9798
clueless	-1.5	0.5
cock	-0.6	1.49666
cocksucker	-3.1	0.83066
cocksuckers	-2.6	1.42829
cocky	-0.5	1.0247
coerced	-1.5	0.67082
collapse	-2.2	0.87178
collapsed	-1.1	1.64012
collapses	-1.2	0.87178
collapsing	-1.2	0.6
collide	-0.3	1.61555
collides	-1.1	1.22066
colliding	-0.5	1.36015
collision	-1.5	0.67082
collisions	-1.1	0.7
colluding	-1.2	1.32665
combat	-1.4	1.0198
combats	-0.8	1.16619
comedian	1.6	1.0198
comedians	1.2	1.16619
comedic	1.7	0.64031
comedically	2.1	0.7
comedienne	0.6	0.66332
comediennes	1.6	1.11355
comedies	1.7	1.00499
comedo	0.3	0.9
comedones	-0.8	0.9798
comedown	-0.8	1.07703
comedowns	-0.9	0.53852
comedy	1.5	0.67082
comfort	1.5	0.67082
comfortable	2.3	0.64031
comfortableness	1.3	1.48661
comfortably	1.8	0.74833
comforted	1.8	0.6
comforter	1.9	0.53852
comforters	1.2	0.6
comforting	1.7	0.64031
comfortingly	1.7	0.45826
comfortless	-1.8	0.6
comforts	2.1	0.7
commend	1.9	0.7
commended	1.9	0.9434
commit	1.2	0.87178
commitment	1.6	0.91652
commitments	0.5	0.92195
commits	0.1	1.13578
committed	1.1	0.7
committing	0.3	1.18743
compassion	2.0	0.7746
compassionate	2.2	0.87178
compassionated	1.6	0.66332
compassionately	1.7	1.41774
compassionateness	0.9	1.37477
compassionates	1.6	0.4899
compassionating	1.6	0.91652
compassionless	-2.6	0.8
compelled	0.2	1.07703
compelling	0.9	0.94339
competent	1.3	0.78102
competitive	0.7	0.9
complacent	-0.3	1.1
complain	-1.5	0.67082
complainant	-0.7	0.78102
complainants	-1.1	1.3
complained	-1.7	0.64031
complainer	-1.8	0.4
complainers	-1.3	1.00499
complaining	-0.8	1.249
complainingly	-1.7	0.64031
complains	-1.6	0.66332
complaint	-1.2	1.249
complaints	-1.7	0.45826
compliment	2.1	0.7
complimentarily	1.7	0.45826
complimentary	1.9	0.7
complimented	1.8	1.4
complimenting	2.3	0.64031
compliments	1.7	0.45826
comprehensive	1.0	0.63246
conciliate	1.0	1.18322
conciliated	1.1	0.9434
conciliates	1.1	0.9434
conciliating	1.3	0.78102
condemn	-1.6	1.0198
condemnation	-2.8	0.9798
condemned	-1.9	1.81384
condemns	-2.3	0.64031
confidence	2.3	0.64031
confident	2.2	0.87178
confidently	2.1	0.53852
conflict	-1.3	0.45826
conflicting	-1.7	0.64031
conflictive	-1.8	0.6
conflicts	-1.6	0.8
confront	-0.7	0.78102
confrontation	-1.3	1.55242
confrontational	-1.6	0.66332
confrontationist	-1.0	1.34164
confrontationists	-1.2	1.46969
confrontations	-1.5	1.0247
confronted	-0.8	0.74833
confronter	-0.3	1.1
confronters	-1.3	1.26886
confronting	-0.6	1.11355
confronts	-0.9	0.53852
confuse	-0.9	0.3
confused	-1.3	0.45826
confusedly	-0.6	1.42829
confusedness	-1.5	0.67082
confuses	-1.3	0.45826
confusing	-0.9	0.7
confusingly	-1.4	0.66332
confusion	-1.2	0.6
confusional	-1.2	0.6
confusions	-0.9	1.04403
congrats	2.4	0.91652
congratulate	2.2	1.249
congratulation	2.9	0.9434
congratulations	2.9	0.53852
consent	0.9	0.7
consents	1.0	0.63246
considerate	1.9	1.22066
consolable	1.1	0.53852
conspiracy	-2.4	0.66332
constrained	-0.4	1.0198
contagion	-2.0	1.18322
contagions	-1.5	0.92195
contagious	-1.4	0.91652
contempt	-2.8	0.6
contemptibilities	-2.0	1.09545
contemptibility	-0.9	1.51327
contemptible	-1.6	1.68523
contemptibleness	-1.9	0.7
contemptibly	-1.4	1.49666
contempts	-1.0	1.48324
contemptuous	-2.2	1.83303
contemptuously	-2.4	0.8
contemptuousness	-1.1	1.57797
contend	0.2	1.07703
contender	0.5	1.0247
contented	1.4	1.56205
contentedly	1.9	0.9434
contentedness	1.4	0.4899
contentious	-1.2	1.4
contentment	1.5	1.74642
contestable	0.6	1.0198
contradict	-1.3	0.78102
contradictable	-1.0	0.63246
contradicted	-1.3	0.45826
contradicting	-1.3	0.9
contradiction	-1.0	0.89443
contradictions	-1.3	0.78102
contradictious	-1.9	1.04403
contradictor	-1.0	0.63246
contradictories	-0.5	1.11803
contradictorily	-0.9	1.3
contradictoriness	-1.4	0.4899
contradictors	-1.6	0.66332
contradictory	-1.4	0.4899
contradicts	-1.4	0.66332
controversial	-0.8	0.87178
controversially	-1.1	1.04403
convince	1.0	0.89443
convinced	1.7	0.64031
convincer	0.6	0.66332
convincers	0.3	0.64031
convinces	0.7	0.78102
convincing	1.7	0.9
convincingly	1.6	0.66332
convincingness	0.7	1.34536
convivial	1.2	1.16619
cool	1.3	0.64031
cornered	-1.1	0.83066
corpse	-2.7	1.18743
costly	-0.4	1.0198
courage	2.2	0.74833
courageous	2.4	0.4899
courageously	2.3	0.78102
courageousness	2.1	0.7
courteous	2.3	0.45826
courtesy	1.5	0.67082
cover-up	-1.2	1.16619
coward	-2.0	0.63246
cowardly	-1.6	0.8
coziness	1.5	1.11803
cramp	-0.8	1.66132
crap	-1.6	0.66332
crappy	-2.6	0.8
crash	-1.7	1.18743
craze	-0.6	1.49666
crazed	-0.5	2.24722
crazes	0.2	1.6
crazier	-0.1	1.7
craziest	-0.2	2.13542
crazily	-1.5	0.67082
craziness	-1.6	0.66332
crazinesses	-1.0	1.48324
crazing	-0.5	0.80623
crazy	-1.4	1.35647
crazyweed	0.8	0.9798
create	1.1	1.13578
created	1.0	0.7746
creates	1.1	0.83066
creatin	0.1	0.53852
creatine	0.2	0.6
creating	1.2	1.249
creatinine	0.4	1.2
creation	1.1	0.83066
creationism	0.7	0.9
creationisms	1.1	1.37477
creationist	0.8	0.9798
creationists	0.5	0.67082
creations	1.6	0.91652
creative	1.9	0.53852
creatively	1.5	0.80623
creativeness	1.8	1.07703
creativities	1.7	1.00499
creativity	1.6	0.8
credit	1.6	0.91652
creditabilities	1.4	1.28062
creditability	1.9	1.3
creditable	1.8	0.6
creditableness	1.2	0.74833
creditably	1.7	0.78102
credited	1.5	1.11803
crediting	0.6	0.4899
creditor	-0.1	1.44568
credits	1.5	1.0247
creditworthiness	1.9	1.3
creditworthy	2.4	0.66332
crestfallen	-2.5	0.67082
cried	-1.6	0.8
cries	-1.7	0.64031
crime	-2.5	0.80623
criminal	-2.4	0.91652
criminals	-2.7	0.9
crisis	-3.1	0.7
critic	-1.1	0.53852
critical	-1.3	0.78102
criticise	-1.9	0.53852
criticised	-1.8	0.4
criticises	-1.3	1.26886
criticising	-1.7	0.78102
criticism	-1.9	0.53852
criticisms	-0.9	1.37477
criticizable	-1.0	0.63246
criticize	-1.6	1.0198
criticized	-1.5	0.92195
criticizer	-1.5	0.67082
criticizers	-1.6	0.4899
criticizes	-1.4	0.66332
criticizing	-1.5	0.67082
critics	-1.2	0.6
crude	-2.7	0.64031
crudely	-1.2	0.4
crudeness	-2.0	0.7746
crudenesses	-2.0	1.0
cruder	-2.0	0.89443
crudes	-1.1	0.83066
crudest	-2.4	1.0198
cruel	-2.8	1.16619
crueler	-2.3	0.45826
cruelest	-2.6	0.8
crueller	-2.4	0.4899
cruellest	-2.9	1.04403
cruelly	-2.8	0.4
cruelness	-2.9	0.3
cruelties	-2.3	1.00499
cruelty	-2.9	0.83066
crush	-0.6	1.11355
crushed	-1.8	0.6
crushes	-1.9	0.53852
crushing	-1.5	1.85742
cry	-2.1	0.53852
crying	-2.1	0.7
cunt	-2.2	2.08806
cunts	-2.9	1.44568
curious	1.3	0.78102
curse	-2.5	0.67082
cut	-1.1	0.53852
cute	2.0	0.63246
cutely	1.3	1.00499
cuteness	2.3	0.45826
cutenesses	1.9	0.53852
cuter	2.3	0.9
cutes	1.8	0.87178
cutesie	1.0	1.18322
cutesier	1.5	1.20416
cutesiest	2.2	1.4
cutest	2.8	0.87178
cutesy	2.1	0.83066
cutey	2.1	1.04403
cuteys	1.5	1.0247
cutie	1.5	0.80623
cutiepie	2.0	1.09545
cuties	2.2	0.6
cuts	-1.2	0.6
cutting	-0.5	0.67082
cynic	-1.4	0.8
cynical	-1.6	0.66332
cynically	-1.3	1.00499
cynicism	-1.7	0.64031
cynicisms	-1.7	0.78102
cynics	-0.3	1.1
d-:	1.6	0.66332
d:	1.2	0.87178
d=	1.5	0.67082
damage	-2.2	0.4
damaged	-1.9	0.53852
damager	-1.9	0.53852
damagers	-2.0	0.63246
damages	-1.9	1.04403
damaging	-2.3	0.9
damagingly	-2.0	0.7746
damn	-1.7	0.64031
damnable	-1.7	0.45826
damnableness	-1.8	0.74833
damnably	-1.7	0.45826
damnation	-2.6	1.0198
damnations	-1.4	1.11355
damnatory	-2.6	1.42829
damned	-1.6	0.66332
damnedest	-0.5	1.5
damnified	-2.8	0.9798
damnifies	-1.8	0.87178
damnify	-2.2	0.74833
damnifying	-2.4	0.66332
damning	-1.4	0.8
damningly	-2.0	1.61245
damnit	-2.4	1.0198
damns	-2.2	0.74833
danger	-2.4	0.91652
dangered	-2.4	0.66332
dangering	-2.5	0.80623
dangerous	-2.1	0.3
dangerously	-2.0	0.44721
dangerousness	-2.0	0.44721
dangers	-2.2	0.87178
daredevil	0.5	0.92195
daring	1.5	1.5
daringly	2.1	0.7
daringness	1.4	0.8
darings	0.4	0.91652
darkest	-2.2	0.6
darkness	-1.0	0.44721
darling	2.8	0.6
darlingly	1.6	0.66332
darlingness	2.3	0.45826
darlings	2.2	0.4
dauntless	2.3	0.78102
daze	-0.7	0.78102
dazed	-0.7	0.64031
dazedly	-0.4	1.0198
dazedness	-0.5	1.11803
dazes	-0.3	0.78102
dead	-3.3	1.00499
deadlock	-1.4	0.8
deafening	-1.2	1.6
dear	1.6	1.35647
dearer	1.9	0.7
dearest	2.6	0.8
dearie	2.2	0.6
dearies	1.0	1.0
dearly	1.8	1.07703
dearness	2.0	0.7746
dears	1.9	0.83066
dearth	-2.3	1.00499
dearths	-0.9	0.7
deary	1.9	0.83066
death	-2.9	1.04403
debonair	0.8	1.72047
debt	-1.5	1.0247
decay	-1.7	0.45826
decayed	-1.6	0.91652
decayer	-1.6	0.4899
decayers	-1.6	0.4899
decaying	-1.7	0.64031
decays	-1.7	0.45826
deceit	-2.0	1.34164
deceitful	-1.9	1.22066
deceive	-1.7	0.64031
deceived	-1.9	1.3
deceives	-1.6	1.56205
deceiving	-1.4	1.68523
deception	-1.9	1.04403
decisive	0.9	0.83066
dedicated	2.0	0.44721
defeat	-2.0	1.67332
defeated	-2.1	0.83066
defeater	-1.4	0.8
defeaters	-0.9	0.9434
defeating	-1.6	0.66332
defeatism	-1.3	1.00499
defeatist	-1.7	0.9
defeatists	-2.1	0.9434
defeats	-1.3	1.1
defeature	-1.9	1.22066
defeatures	-1.5	1.20416
defect	-1.4	0.8
defected	-1.7	0.64031
defecting	-1.8	0.6
defection	-1.4	0.66332
defections	-1.5	0.67082
defective	-1.9	0.53852
defectively	-2.1	0.83066
defectiveness	-1.8	0.74833
defectives	-1.8	0.74833
defector	-1.9	0.53852
defectors	-1.3	1.26886
defects	-1.7	0.9
defence	0.4	0.91652
defenceman	0.4	1.11355
defencemen	0.6	0.91652
defences	-0.2	1.16619
defender	0.4	1.0198
defenders	0.3	0.78102
defense	0.5	0.67082
defenseless	-1.4	0.8
defenselessly	-1.1	0.9434
defenselessness	-1.3	1.18743
defenseman	0.1	1.13578
defensemen	-0.4	0.66332
defenses	0.7	1.41774
defensibility	0.4	1.56205
defensible	0.8	0.87178
defensibly	0.1	1.13578
defensive	0.1	1.13578
defensively	-0.6	0.91652
defensiveness	-0.4	1.11355
defensives	-0.3	1.00499
defer	-1.2	0.6
deferring	-0.7	0.64031
defiant	-0.9	1.44568
deficit	-1.7	0.78102
definite	1.1	0.7
definitely	1.7	0.64031
degradable	-1.0	1.26491
degradation	-2.4	1.0198
degradations	-1.5	0.67082
degradative	-2.0	0.63246
degrade	-1.9	0.7
degraded	-1.8	0.87178
degrader	-2.0	0.63246
degraders	-2.0	0.63246
degrades	-2.1	0.83066
degrading	-2.8	0.87178
degradingly	-2.7	0.64031
dehumanize	-1.8	2.18174
dehumanized	-1.9	0.7
dehumanizes	-1.5	0.67082
dehumanizing	-2.4	0.91652
deject	-2.2	0.6
dejected	-2.2	0.74833
dejecting	-2.3	0.64031
dejects	-2.0	0.63246
delay	-1.3	0.45826
delayed	-0.9	0.3
delectable	2.9	0.83066
delectables	1.4	1.35647
delectably	2.8	0.74833
delicate	0.2	0.74833
delicately	1.0	1.26491
delicates	0.6	1.35647
delicatessen	0.4	0.8
delicatessens	0.4	0.8
delicious	2.7	0.64031
deliciously	1.9	0.83066
deliciousness	1.8	0.87178
delight	2.9	0.7
delighted	2.3	0.64031
delightedly	2.4	0.4899
delightedness	2.1	0.53852
delighter	2.0	0.63246
delighters	2.6	0.66332
delightful	2.8	0.6
delightfully	2.7	0.45826
delightfulness	2.1	0.7
delighting	1.6	1.90788
delights	2.0	1.54919
delightsome	2.3	0.45826
demand	-0.5	0.67082
demanded	-0.9	0.7
demanding	-0.9	0.53852
demonstration	0.4	0.91652
demoralized	-1.6	1.62481
denied	-1.9	0.53852
denier	-1.5	0.67082
deniers	-1.1	1.13578
denies	-1.8	0.6
denounce	-1.4	0.91652
denounces	-1.9	0.7
deny	-1.4	0.4899
denying	-1.4	0.4899
depress	-2.2	0.74833
depressant	-1.6	1.11355
depressants	-1.6	0.91652
depressed	-2.3	0.45826
depresses	-2.2	0.6
depressible	-1.7	0.78102
depressing	-1.6	1.28062
depressingly	-2.3	0.45826
depression	-2.7	0.64031
depressions	-2.2	0.6
depressive	-1.6	1.11355
depressively	-2.1	0.53852
depressives	-1.5	0.5
depressor	-1.8	1.16619
depressors	-1.7	0.9
depressurization	-0.3	0.78102
depressurizations	-0.4	0.91652
depressurize	-0.5	0.80623
depressurized	-0.3	0.64031
depressurizes	-0.3	0.64031
depressurizing	-0.7	1.34536
deprival	-2.1	0.7
deprivals	-1.2	0.87178
deprivation	-1.8	1.4
deprivations	-1.8	0.74833
deprive	-2.1	0.7
deprived	-2.1	0.7
depriver	-1.6	0.91652
deprivers	-1.4	0.66332
deprives	-1.7	0.64031
depriving	-2.0	0.0
derail	-1.2	1.07703
derailed	-1.4	0.66332
derails	-1.3	0.78102
deride	-1.1	1.22066
derided	-0.8	0.87178
derides	-1.0	1.0
deriding	-1.5	0.80623
derision	-1.2	1.249
desirable	1.3	0.45826
desire	1.7	0.78102
desired	1.1	1.04403
desirous	1.3	0.64031
despair	-1.3	1.9
despaired	-2.7	0.45826
despairer	-1.3	1.1
despairers	-1.3	1.00499
despairing	-2.3	0.64031
despairingly	-2.2	0.74833
despairs	-2.7	1.00499
desperate	-1.3	1.34536
desperately	-1.6	1.11355
desperateness	-1.5	1.36015
desperation	-2.0	1.0
desperations	-2.2	1.66132
despise	-1.4	1.35647
despised	-1.7	1.48661
despisement	-2.4	0.91652
despisements	-2.5	1.0247
despiser	-1.8	1.07703
despisers	-1.6	1.35647
despises	-2.0	1.26491
despising	-2.7	0.9
despondent	-2.1	0.53852
destroy	-2.5	0.67082
destroyed	-2.2	0.87178
destroyer	-2.0	0.89443
destroyers	-2.3	0.78102
destroying	-2.6	0.91652
destroys	-2.6	0.4899
destruct	-2.4	0.4899
destructed	-1.9	1.04403
destructibility	-1.8	1.07703
destructible	-1.5	1.11803
destructing	-2.5	0.67082
destruction	-2.7	0.9
destructionist	-2.6	0.8
destructionists	-2.1	0.53852
destructions	-2.3	0.78102
destructive	-3.0	0.63246
destructively	-2.4	0.91652
destructiveness	-2.4	0.91652
destructivity	-2.2	1.53623
destructs	-2.4	0.91652
detached	-0.5	1.20416
detain	-1.8	0.9798
detained	-1.7	0.9
detention	-1.5	0.67082
determinable	0.9	0.7
determinableness	0.2	1.07703
determinably	0.9	0.83066
determinacy	1.0	1.0
determinant	0.2	0.6
determinantal	-0.3	1.41774
determinate	0.8	0.87178
determinately	1.2	0.6
determinateness	1.1	0.9434
determination	1.7	0.78102
determinations	0.8	1.16619
determinative	1.1	1.04403
determinatives	0.9	1.3
determinator	1.1	1.04403
determined	1.4	1.35647
devastate	-3.1	0.9434
devastated	-3.0	0.89443
devastates	-2.8	0.9798
devastating	-3.3	0.9
devastatingly	-2.4	1.28062
devastation	-1.8	2.13542
devastations	-1.9	1.92094
devastative	-3.2	1.16619
devastator	-2.8	0.74833
devastators	-2.9	1.22066
devil	-3.4	0.8
deviled	-1.6	1.0198
devilfish	-0.8	1.07703
devilfishes	-0.6	1.0198
deviling	-2.2	0.87178
devilish	-2.1	1.04403
devilishly	-1.6	0.8
devilishness	-2.3	0.9
devilkin	-2.4	0.91652
devilled	-2.3	1.1
devilling	-1.8	1.249
devilment	-1.9	0.9434
devilments	-1.1	0.7
devilries	-1.6	1.35647
devilry	-2.8	1.249
devils	-2.7	0.9
deviltries	-1.5	1.11803
deviltry	-2.8	1.32665
devilwood	-0.8	1.07703
devilwoods	-1.0	0.7746
devote	1.4	1.28062
devoted	1.7	1.34536
devotedly	1.6	1.35647
devotedness	2.0	1.0
devotee	1.6	1.11355
devotees	0.5	1.0247
devotement	1.5	1.36015
devotements	1.1	1.04403
devotes	1.6	0.91652
devoting	2.1	0.7
devotion	2.0	1.0
devotional	1.2	1.16619
